lfnr;Form ID
1971;7681
1972;7681
1973;7681
1974;7681
1975;7681
1976;7681
1977;7681
1978;7681
1979;2150
1980;2150
1981;2150
1982;2150
1983;2150
1984;2150
1985;2150
1986;2150
1987;2150
1988;2150
1989;2150
1990;2150
1991;2150
1992;2150
1993;2150
1994;2150
1995;2150
1996;2150
1997;2150
1998;2150
1999;2150
2000;2150
2001;2150
2002;2150
2003;2150
2004;2150
2005;2150
2006;2150
2007;2150
2008;2150
2009;2150
2010;2150
2011;2150
2012;2150
2013;2150
2014;2150
2015;2150
2016;2150
2017;2150
2018;2150
2019;2150
2020;2150
2021;2150
2022;2150
2023;2150
2024;2150
2025;2150
2026;2150
2027;2150
2028;2150
2029;2150
2030;2150
2031;2150
2032;2150
2033;2150
2034;2150
2035;2150
2036;2150
2037;2150
2038;2150
2039;2150
2040;2150
2041;2150
2042;2150
2043;2150
2044;2150
2045;2150
2046;2150
2047;2150
2048;2150
2049;2150
2050;2150
2051;2150
2052;2150
2053;2150
2054;2150
2055;2150
2056;2150
2057;2150
2058;2150
2059;2150
2060;2150
2061;2150
2062;2150
2063;2150
2064;2175
2065;2175
2066;2175
2067;2175
2068;2390
2069;2172
2070;2172
2071;2172
2072;2172
2073;2172
2074;2172
2075;2172
2076;2172
2077;2172
2078;2172
2079;2172
2080;2172
2081;2172
2082;2172
2083;2172
2084;2172
2085;2172
2086;2172
2087;2172
2088;2172
2089;2172
2090;2172
2091;2150
2092;2150
2093;2150
2094;2150
2095;2150
2096;2150
2097;2150
2098;2150
2099;2150
2100;2150
2101;2150
2102;2150
2103;2150
2104;2150
2105;2559
2106;2150
2107;2150
2108;2150
2109;2150
2110;2150
2111;2150
2112;2150
2113;2150
2114;2150
2115;2150
2116;2150
2117;2150
2118;2150
2119;2150
2120;2150
2121;2150
2122;2150
2123;2150
2124;2150
2125;2150
2126;2150
2127;2150
2128;2150
2129;2150
2130;2150
2131;2150
2132;2150
2133;2150
2134;2150
2135;2150
2136;2150
2137;2150
2138;2150
2139;2150
2140;2150
2141;2150
2142;2150
2143;2150
2144;2150
2145;2150
2146;2150
2147;2150
2148;2150
2149;2150
2150;2150
2151;2150
2152;2150
2153;2150
2154;2150
2155;2150
2156;2150
2157;2150
2158;2150
2159;2150
2160;3508
2161;3508
2162;3508
2163;3508
2164;3508
2165;3508
2166;3508
2167;3508
2168;3508
2169;3508
2170;3508
2171;3508
2172;3508
2173;3508
2174;3508
2175;3508
2176;3508
2177;3508
2178;3508
2179;3508
2180;3508
2181;3508
2182;3508
2183;3508
2184;3508
2185;3508
2186;3508
2187;3508
2188;3508
2189;2390
2190;2390
2191;2390
2192;2390
2193;2390
2194;2390
2195;2390
2196;2390
2197;2149
2198;2149
2199;2149
2200;2149
2201;2149
2202;2149
2203;2149
2204;2149
2205;2149
2206;2149
2207;2149
2208;3850
2209;3850
2210;3850
2211;3850
2212;3850
2213;3850
2214;3850
2215;3850
2216;3850
2217;3850
2218;3850
2219;2149
2220;2149
2221;2390
2222;2149
2223;2149
2224;2149
2225;2149
2226;2149
2227;2149
2228;2149
2229;2149
2230;2149
2231;2149
2232;2149
2233;2149
2234;2149
2235;2149
2236;2149
2237;2149
2238;2149
2239;2149
2240;2149
2241;2149
2242;2149
2243;2149
2244;2149
2245;2149
2246;2149
2247;2149
2248;2149
2249;2149
2250;2149
2251;2149
2252;2149
2253;2149
2254;2149
2255;2149
2256;2149
2257;2149
2258;2149
2259;2149
2260;2149
2261;2149
2262;2149
2263;2149
2264;2149
2265;2149
2266;2149
2267;2149
2268;2149
2269;2149
2270;2149
2271;2149
2272;2149
2273;2149
2274;2149
2275;2149
2276;2149
2277;2149
2278;2149
2279;2149
2280;2149
2281;2149
2282;2149
2283;2149
2284;2149
2285;2149
2286;2149
2287;2149
2288;2149
2289;2149
2290;2149
2291;2149
2292;2149
2293;2149
2294;2149
2295;2149
2296;2149
2297;2149
2298;2149
2299;2149
2300;2149
2301;2149
2302;2149
2303;2149
2304;2149
2305;2149
2306;2149
2307;2149
2308;2149
2309;2149
2310;2149
2311;2149
2312;2149
2313;2149
2314;2149
2315;2149
2316;2149
2317;2149
2318;2149
2319;2149
2320;2149
2321;2149
2322;2149
2323;2149
2324;3850
2325;3850
2326;3850
2327;3850
2328;3850
2329;3850
2330;3850
2331;3850
2332;3850
2333;3850
2334;3850
2335;3850
2336;3850
2337;3850
2338;3850
2339;3850
2340;3850
2341;3850
2342;3850
2343;3850
2344;3850
2345;2149
2346;2149
2347;2149
2348;2149
2349;2149
2350;2149
2351;2149
2352;2149
2353;2149
2354;2149
2355;2149
2356;2149
2357;2149
2358;2149
2359;2149
2360;2149
2361;2149
2362;2149
2363;2149
2364;2149
2365;2149
2366;2390
2367;2559
2368;2149
2369;2628
2370;2628
2371;2628
2372;2628
2373;2628
2374;2628
2375;2628
2376;2628
2377;2628
2378;2628
2379;2628
2380;2628
2381;2628
2382;2628
2383;2628
2384;2628
2385;2628
2386;2628
2387;2628
2388;2628
2389;2628
2390;2628
2391;2628
2392;2628
2393;2628
2394;2628
2395;2628
2396;2628
2397;2628
2398;2628
2399;2628
2400;2628
2401;2628
2402;2628
2403;2628
2404;2628
2405;2628
2406;2628
2407;2628
2408;2628
2409;2628
2410;2628
2411;2628
2412;2628
2413;2628
2414;2628
2415;2628
2416;2628
2417;2628
2418;2628
2419;2628
2420;2628
2421;2628
2422;2628
2423;2628
2424;2628
2425;2628
2426;2628
2427;2628
2428;2628
2429;2628
2430;2628
2431;2628
2432;2628
2433;2628
2434;2628
2435;2628
2436;2628
2437;2628
2438;2628
2439;2628
2440;2628
2441;2628
2442;2628
2443;2628
2444;2628
2445;2628
2446;2628
2447;2628
2448;2628
2449;2628
2450;2628
2451;2628
2452;2628
2453;2628
2454;2628
2455;2628
2456;2628
2457;2628
2458;2628
2459;2628
2460;2628
2461;2628
2462;2628
2463;2628
2464;2628
2465;2628
2466;2628
2467;2628
2468;2628
2469;2628
2470;2628
2471;2628
2472;2628
2473;2628
2474;2628
2475;2628
2476;2628
2477;2628
2478;2628
2479;2628
2480;2628
2481;2628
2482;2628
2483;2628
2484;2628
2485;2628
2486;2628
2487;2628
2488;2628
2489;2628
2490;2628
2491;2628
2492;2628
2493;2628
2494;2628
2495;2628
2496;2628
2497;2628
2498;2628
2499;2628
2500;2628
2501;2628
2502;2628
2503;2628
2504;2628
2505;2628
2506;2628
2507;2628
2508;2628
2509;2628
2510;2628
2511;2628
2512;2628
2513;2628
2514;2628
2515;2628
2516;2628
2517;2628
2518;2628
2519;2628
2520;2628
2521;2628
2522;2628
2523;2628
2524;2628
2525;2628
2526;2628
2527;2628
2528;2628
2529;2628
2530;2628
2531;2628
2532;2628
2533;2628
2534;2628
2535;2628
2536;2628
2537;2628
2538;2628
2539;2628
2540;2628
2541;2628
2542;2628
2543;2628
2544;2628
2545;2628
2546;2628
2547;2628
2548;2628
2549;2628
2550;2628
2551;2628
2552;2628
2553;2628
2554;2628
2555;2628
2556;2628
2557;2628
2558;2628
2559;2628
2560;2628
2561;2628
2562;2628
2563;2628
2564;2628
2565;2628
2566;2628
2567;2628
2568;2628
2569;2628
2570;2628
2571;2628
2572;2628
2573;2628
2574;2628
2575;2628
2576;2628
2577;2628
2578;2628
2579;2628
2580;2628
2581;2628
2582;2628
2583;2628
2584;2628
2585;2628
2586;2628
2587;2628
2588;2628
2589;2628
2590;2628
2591;2628
2592;2628
2593;2628
2594;2628
2595;2628
2596;2628
2597;2628
2598;2628
2599;2628
2600;2628
2601;2628
2602;2628
2603;2628
2604;2628
2605;2628
2606;2628
2607;2628
2608;2628
2609;2628
2610;2628
2611;2628
2612;2628
2613;2628
2614;2628
2615;2628
2616;2628
2617;2628
2618;2628
2619;2628
2620;2628
2621;2628
2622;2628
2623;2628
2624;2628
2625;2628
2626;2628
2627;2628
2628;2628
2629;2628
2630;2628
2631;2628
2632;2628
2633;2628
2634;2628
2635;2628
2636;2628
2637;2628
2638;2628
2639;2628
2640;2628
2641;2628
2642;2628
2643;2628
2644;2628
2645;2628
2646;2628
2647;2628
2648;2628
2649;2628
2650;2628
2651;2628
2652;2628
2653;2628
2654;2628
2655;2628
2656;2628
2657;2628
2658;2628
2659;2628
2660;2628
2661;2628
2662;2628
2663;2628
2664;2628
2665;2628
2666;2628
2667;2628
2668;2628
2669;2628
2670;2628
2671;2628
2672;2628
2673;2628
2674;2628
2675;2628
2676;2628
2677;2628
2678;2628
2679;2628
2680;2628
2681;2628
2682;2628
2683;2628
2684;2628
2685;2628
2686;2628
2687;2628
2688;2628
2689;2628
2690;2628
2691;2628
2692;2628
2693;2628
2694;2628
2695;2628
2696;2628
2697;2628
2698;2628
2699;2628
2700;2628
2701;2628
2702;2628
2703;2628
2704;2628
2705;2628
2706;2628
2707;2628
2708;2628
2709;2628
2710;2628
2711;2628
2712;2628
2713;2628
2714;2628
2715;2628
2716;2628
2717;2628
2718;2628
2719;2628
2720;2628
2721;2628
2722;2628
2723;2628
2724;2628
2725;2628
2726;2628
2727;2628
2728;2628
2729;2628
2730;2628
2731;2628
2732;2628
2733;2628
2734;2628
2735;2628
2736;2628
2737;2628
2738;2628
2739;2628
2740;2628
2741;2628
2742;2628
2743;2628
2744;2628
2745;2628
2746;2628
2747;2628
2748;2628
2749;2628
2750;2628
2751;2628
2752;2628
2753;2628
2754;2628
2755;2628
2756;2628
2757;2628
2758;2628
2759;2628
2760;2628
2761;3508
2762;3508
2763;3508
2764;2149
2765;2149
2766;2149
2767;2149
2768;2149
2769;2149
2770;2149
2771;2149
2772;2149
2773;2149
2774;2149
2775;2149
2776;2149
2777;2149
2778;2149
2779;2149
2780;2149
2781;2149
2782;2149
2783;2149
2784;2149
2785;2149
2786;2149
2787;2149
2788;2149
2789;2149
2790;2149
2791;2149
2792;2149
2793;2149
2794;2149
2795;2149
2796;2149
2797;2149
2798;2149
2799;2149
2800;2149
2801;2149
2802;2149
2803;2149
2804;2149
2805;2149
2806;2149
2807;2149
2808;2149
2809;2149
2810;2149
2811;2149
2812;2149
2813;2149
2814;2149
2815;2149
2816;2149
2817;2149
2818;2149
2819;2149
2820;2149
2821;2149
2822;2149
2823;2149
2824;2149
2825;2149
2826;2149
2827;2149
2828;2149
2829;2149
2830;2149
2831;2149
2832;2149
2833;2149
2834;2149
2835;2149
2836;2149
2837;2149
2838;2149
2839;2149
2840;2149
2841;2149
2842;2149
2843;2149
2844;2149
2845;2149
